Pickup_date,Alphabet_City,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
1/1/15 0:00,58,128,122,165,120,203,110,176
1/1/15 1:00,39,117,127,147,154,224,112,233
1/1/15 2:00,50,156,117,148,193,301,103,309
1/1/15 3:00,49,96,77,129,154,230,88,160
1/1/15 4:00,30,49,52,59,49,103,37,49
1/1/15 5:00,22,19,10,17,24,47,12,22
1/1/15 6:00,4,17,7,15,16,26,8,15
1/1/15 7:00,5,10,5,8,5,19,1,3
1/1/15 8:00,4,11,5,4,7,6,6,12
1/1/15 9:00,3,12,8,4,7,10,6,8
1/1/15 10:00,8,7,8,3,9,10,14,8
1/1/15 11:00,14,21,9,8,12,9,9,17
1/1/15 12:00,13,17,15,7,14,22,14,12
1/1/15 13:00,13,33,22,12,21,31,23,29
1/1/15 14:00,15,20,18,8,27,38,24,20
1/1/15 15:00,19,23,28,32,34,28,19,29
1/1/15 16:00,14,31,23,34,52,37,34,39
1/1/15 17:00,24,41,36,39,41,49,41,52
1/1/15 18:00,13,35,38,12,41,50,33,39
1/1/15 19:00,18,40,29,25,48,47,37,32
1/1/15 20:00,20,40,33,31,46,54,29,33
1/1/15 21:00,13,28,24,39,32,39,19,29
1/1/15 22:00,14,36,30,22,23,34,23,35
1/1/15 23:00,18,22,26,27,28,33,26,25
1/2/15 0:00,11,35,18,24,13,32,11,31
1/2/15 1:00,6,11,11,9,9,23,5,18
1/2/15 2:00,1,11,4,12,2,19,1,11
1/2/15 3:00,4,1,7,9,3,19,5,2
1/2/15 4:00,3,7,3,5,5,10,3,2
1/2/15 5:00,4,7,7,1,4,13,5,4
1/2/15 6:00,7,15,9,4,7,8,7,7
1/2/15 7:00,8,16,11,7,10,12,6,15
1/2/15 8:00,16,15,17,12,14,15,8,19
1/2/15 9:00,15,28,16,9,14,13,11,24
1/2/15 10:00,12,25,13,10,19,21,14,18
1/2/15 11:00,14,16,25,11,17,31,17,37
1/2/15 12:00,14,23,25,14,28,23,29,39
1/2/15 13:00,10,32,17,15,31,26,23,48
1/2/15 14:00,14,29,23,25,40,17,33,46
