Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-01-01 00:00:00,273,128,122,165,120,203,110,176
2015-01-01 01:00:00,285,117,127,147,154,224,112,233
2015-01-01 02:00:00,417,156,117,148,193,301,103,309
2015-01-01 03:00:00,308,96,77,129,154,230,88,160
2015-01-01 04:00:00,155,49,52,59,49,103,37,49
2015-01-01 05:00:00,74,19,10,17,24,47,12,22
2015-01-01 06:00:00,45,17,7,15,16,26,8,15
2015-01-01 07:00:00,32,10,5,8,5,19,1,3
2015-01-01 08:00:00,18,11,5,4,7,6,6,12
2015-01-01 09:00:00,12,12,8,4,7,10,6,8
2015-01-01 10:00:00,28,7,8,3,9,10,14,8
2015-01-01 11:00:00,29,21,9,8,12,9,9,17
2015-01-01 12:00:00,45,17,15,7,14,22,14,12
2015-01-01 13:00:00,49,33,22,12,21,31,23,29
2015-01-01 14:00:00,49,20,18,8,27,38,24,20
2015-01-01 15:00:00,65,23,28,32,34,28,19,29
2015-01-01 16:00:00,76,31,23,34,52,37,34,39
2015-01-01 17:00:00,60,41,36,39,41,49,41,52
2015-01-01 18:00:00,81,35,38,12,41,50,33,39
2015-01-01 19:00:00,67,40,29,25,48,47,37,32
2015-01-01 20:00:00,75,40,33,31,46,54,29,33
2015-01-01 21:00:00,60,28,24,39,32,39,19,29
2015-01-01 22:00:00,73,36,30,22,23,34,23,35
2015-01-01 23:00:00,68,22,26,27,28,33,26,25
2015-01-02 00:00:00,61,35,18,24,13,32,11,31
2015-01-02 01:00:00,42,11,11,9,9,23,5,18
2015-01-02 02:00:00,20,11,4,12,2,19,1,11
2015-01-02 03:00:00,22,1,7,9,3,19,5,2
2015-01-02 04:00:00,26,7,3,5,5,10,3,2
2015-01-02 05:00:00,14,7,7,1,4,13,5,4
2015-01-02 06:00:00,24,15,9,4,7,8,7,7
2015-01-02 07:00:00,26,16,11,7,10,12,6,15
2015-01-02 08:00:00,35,15,17,12,14,15,8,19
2015-01-02 09:00:00,31,28,16,9,14,13,11,24
2015-01-02 10:00:00,29,25,13,10,19,21,14,18
2015-01-02 11:00:00,29,16,25,11,17,31,17,37
2015-01-02 12:00:00,51,23,25,14,28,23,29,39
2015-01-02 13:00:00,56,32,17,15,31,26,23,48
2015-01-02 14:00:00,48,29,23,25,40,17,33,46
2015-01-02 15:00:00,47,30,30,23,46,30,49,52
2015-01-02 16:00:00,48,25,34,40,66,35,73,71
2015-01-02 17:00:00,71,41,51,25,63,48,80,72
2015-01-02 18:00:00,70,44,43,36,66,51,51,60
2015-01-02 19:00:00,77,58,54,30,74,65,48,89
2015-01-02 20:00:00,66,61,38,39,63,52,39,76
2015-01-02 21:00:00,102,44,34,43,68,66,34,50
2015-01-02 22:00:00,135,41,44,46,45,73,43,69
2015-01-02 23:00:00,125,56,58,43,40,87,41,63
2015-01-03 00:00:00,111,47,33,64,48,60,27,46
2015-01-03 01:00:00,121,26,25,65,29,67,21,40
2015-01-03 02:00:00,70,21,10,35,28,98,6,23
2015-01-03 03:00:00,66,14,9,22,22,64,8,14
2015-01-03 04:00:00,43,13,4,15,11,19,5,13
2015-01-03 05:00:00,22,14,7,6,2,6,1,10
2015-01-03 06:00:00,14,9,6,3,3,5,5,7
2015-01-03 07:00:00,11,7,4,6,7,2,3,5
2015-01-03 08:00:00,19,13,2,3,4,6,2,9
2015-01-03 09:00:00,28,14,10,7,17,15,6,17
2015-01-03 10:00:00,43,18,20,12,23,9,14,22
2015-01-03 11:00:00,39,39,17,9,20,23,23,22
2015-01-03 12:00:00,46,45,28,34,37,43,33,45
2015-01-03 13:00:00,75,46,39,30,59,53,47,61
2015-01-03 14:00:00,113,54,64,44,71,73,66,68
2015-01-03 15:00:00,86,60,59,49,92,69,56,90
2015-01-03 16:00:00,124,76,67,70,102,76,90,102
2015-01-03 17:00:00,129,89,79,53,90,75,111,133
2015-01-03 18:00:00,156,94,91,66,106,72,70,113
2015-01-03 19:00:00,197,138,107,87,94,84,84,143
2015-01-03 20:00:00,164,85,64,68,86,70,56,116
2015-01-03 21:00:00,145,99,80,86,70,76,52,85
2015-01-03 22:00:00,161,76,64,76,56,100,46,95
2015-01-03 23:00:00,189,107,80,106,64,127,58,117
2015-01-04 00:00:00,187,85,65,95,84,150,32,74
2015-01-04 01:00:00,139,61,25,56,48,128,30,44
2015-01-04 02:00:00,128,31,15,44,27,86,9,49
2015-01-04 03:00:00,77,18,7,26,17,69,4,17
2015-01-04 04:00:00,33,12,12,8,11,38,4,12
2015-01-04 05:00:00,18,6,2,5,5,6,6,8
2015-01-04 06:00:00,20,11,11,2,8,9,3,7
2015-01-04 07:00:00,22,4,7,3,5,7,3,10
2015-01-04 08:00:00,20,15,5,8,6,6,6,9
2015-01-04 09:00:00,20,14,11,6,7,25,15,16
2015-01-04 10:00:00,35,20,17,8,29,15,14,18
2015-01-04 11:00:00,46,37,30,21,23,18,21,31
2015-01-04 12:00:00,51,30,27,20,28,25,17,44
2015-01-04 13:00:00,61,35,27,21,26,27,20,42
2015-01-04 14:00:00,59,27,21,25,41,28,29,45
2015-01-04 15:00:00,53,42,29,32,35,25,31,61
2015-01-04 16:00:00,64,36,36,28,45,38,54,48
2015-01-04 17:00:00,54,39,26,23,46,36,33,47
2015-01-04 18:00:00,61,37,45,24,43,46,36,46
2015-01-04 19:00:00,51,36,49,34,42,55,34,48
2015-01-04 20:00:00,85,46,50,32,52,44,20,47
2015-01-04 21:00:00,59,30,29,35,38,31,19,28
2015-01-04 22:00:00,47,15,13,29,25,31,12,35
2015-01-04 23:00:00,29,16,11,23,23,17,9,18
2015-01-05 00:00:00,32,7,10,8,6,9,12,8
2015-01-05 01:00:00,20,6,7,2,5,3,9,10
2015-01-05 02:00:00,6,0,3,3,7,7,1,4
2015-01-05 03:00:00,10,0,3,2,5,3,4,2
2015-01-05 04:00:00,9,10,6,8,6,4,2,5
2015-01-05 05:00:00,28,22,13,8,9,11,8,10
2015-01-05 06:00:00,41,27,25,15,14,21,9,16
2015-01-05 07:00:00,64,39,30,20,32,32,36,45
2015-01-05 08:00:00,99,61,52,26,30,31,31,49
2015-01-05 09:00:00,79,39,28,23,25,21,33,51
2015-01-05 10:00:00,39,19,29,6,27,18,16,29
2015-01-05 11:00:00,22,16,21,7,26,16,22,37
2015-01-05 12:00:00,31,19,24,14,28,11,27,41
2015-01-05 13:00:00,37,14,21,14,22,12,25,45
2015-01-05 14:00:00,36,22,29,15,25,16,22,47
2015-01-05 15:00:00,26,37,46,18,17,27,38,53
2015-01-05 16:00:00,30,26,25,22,55,23,43,67
2015-01-05 17:00:00,31,38,56,22,40,29,50,113
2015-01-05 18:00:00,53,53,57,43,66,47,111,157
2015-01-05 19:00:00,54,48,64,42,78,35,57,142
2015-01-05 20:00:00,56,55,42,37,40,44,45,102
2015-01-05 21:00:00,59,40,37,40,33,41,44,84
2015-01-05 22:00:00,64,42,30,46,41,28,19,62
2015-01-05 23:00:00,50,27,23,26,30,24,21,44
2015-01-06 00:00:00,22,9,17,14,11,16,18,29
2015-01-06 01:00:00,20,5,10,10,7,14,4,11
2015-01-06 02:00:00,12,2,10,6,4,10,4,2
2015-01-06 03:00:00,5,8,3,5,0,5,1,4
2015-01-06 04:00:00,12,2,3,6,5,7,4,7
2015-01-06 05:00:00,26,12,7,4,7,7,9,4
2015-01-06 06:00:00,44,18,19,9,12,15,26,19
2015-01-06 07:00:00,71,40,37,30,29,24,34,48
2015-01-06 08:00:00,104,60,65,38,45,35,47,47
2015-01-06 09:00:00,123,73,56,34,41,43,38,71
2015-01-06 10:00:00,60,49,37,19,27,28,42,60
2015-01-06 11:00:00,39,35,27,18,34,28,36,76
2015-01-06 12:00:00,32,28,39,31,43,16,37,73
2015-01-06 13:00:00,37,28,38,24,34,29,34,80
2015-01-06 14:00:00,36,25,37,26,40,23,51,77
2015-01-06 15:00:00,34,32,35,17,34,29,46,80
2015-01-06 16:00:00,34,28,56,23,32,29,56,92
2015-01-06 17:00:00,43,38,43,36,70,31,71,161
2015-01-06 18:00:00,46,61,92,45,88,37,106,224
2015-01-06 19:00:00,73,63,78,45,93,48,91,140
2015-01-06 20:00:00,81,54,62,57,72,44,66,153
2015-01-06 21:00:00,82,49,65,66,69,39,44,144
2015-01-06 22:00:00,90,52,45,61,54,36,41,96
2015-01-06 23:00:00,89,31,30,44,35,40,23,60
2015-01-07 00:00:00,42,16,20,18,14,30,25,37
2015-01-07 01:00:00,26,7,4,15,9,18,5,19
2015-01-07 02:00:00,7,4,4,4,4,12,3,12
2015-01-07 03:00:00,9,5,3,8,3,9,5,2
2015-01-07 04:00:00,13,6,3,4,1,7,6,2
2015-01-07 05:00:00,23,6,9,3,9,11,10,12
2015-01-07 06:00:00,51,24,23,12,15,14,26,17
